student_id,gender,study_time_hours,attendance_percent,sleep_hours,parental_education,internet_access,extracurricular_activities,part_time_job,previous_grade,final_exam_score,final_grade
79,Male,3.3,79.2,7.8,High School,Yes,Yes,Yes,60.6,74.9,C
546,Female,6.3,90,6.3,High School,Yes,Yes,No,85.1,100,A
704,Female,3.2,99.5,7,Bachelors,Yes,Yes,No,78.7,89.6,B
90,Female,3.1,91.5,7.7,Bachelors,Yes,No,Yes,67.3,84.5,B
248,Male,2.9,95.3,7.2,Bachelors,No,No,No,73.9,76.5,C
956,Male,3.5,89.2,6.5,Bachelors,Yes,Yes,No,62.5,88.3,B
776,Male,6.9,87.5,7.3,High School,Yes,No,Yes,33.5,88.6,B
760,Unknown,3.5,99.9,7.4,Bachelors,No,Yes,Yes,69.8,72.1,C
994,Female,6.2,87.6,,PhD,Yes,No,No,75.4,92.7,A
562,Male,2.5,84.7,3.2,Bachelors,No,No,No,90.1,83.9,B
881,Male,3.3,67.2,5.7,Bachelors,Yes,Yes,No,82.6,81.4,B
852,Female,2.7,75.5,5.3,High School,Yes,Yes,No,74.7,80.7,B
399,Female,4.3,85.8,6.2,Bachelors,Yes,Yes,No,69.2,90.4,A
579,Female,3.4,90.6,8.3,Bachelors,Yes,No,No,41.6,83.3,B
899,Male,2.3,80.4,4.9,,Yes,Yes,No,72.4,66.7,D
937,Female,3.4,89.6,4.9,Bachelors,Yes,No,No,66.1,85.6,B
84,Female,2.6,89.4,6.5,Bachelors,Yes,No,No,96.4,90,A
814,Female,5.5,89.9,7.3,High School,No,No,Yes,59.1,75.6,C
143,Female,3.9,80.1,9.3,Bachelors,Yes,No,Yes,74.4,88.5,B
375,Male,2.6,100,7.6,Masters,Yes,No,No,65.6,91.7,A
199,Male,3.8,89.3,8.1,Masters,Yes,Yes,No,57.5,87.3,B
875,Female,4.3,89.4,6.5,High School,Yes,No,No,60.7,93.8,A
327,Male,2.7,63.3,7.4,Masters,No,Yes,No,71.8,63.7,D
213,Male,2.8,85.2,8.2,High School,Yes,Yes,Yes,51.2,70,C
973,Male,1.3,67.2,7.3,Bachelors,Yes,No,No,79,84.1,B
405,Female,4.1,66.2,7.5,Bachelors,Yes,No,No,80.5,84.7,B
219,Female,4.1,80.2,6.1,Bachelors,Yes,No,No,63.9,86.8,B
390,Male,1.1,71.8,6.5,Bachelors,Yes,Yes,Yes,69.6,69.5,D
363,Male,2.6,86.9,7.3,Bachelors,Yes,Yes,Yes,55.1,66.7,D
765,Male,2,83.2,7.8,Bachelors,Yes,Yes,No,71.5,85.4,B
549,Female,4.2,100,7.9,High School,Yes,Yes,No,76.7,100,A
238,Female,5.5,78.3,8.5,,Yes,No,No,73.4,84.4,B
985,Female,3.2,83.4,6.7,Bachelors,Yes,Yes,No,55.9,75.4,C
314,Male,3.2,86.8,8.4,Bachelors,Yes,No,No,59.8,79.4,C
270,Male,3.6,82,7.8,,Yes,No,No,84.8,80.2,B
14,Male,5.4,78.4,6.9,Bachelors,No,No,No,67.9,93.3,A
118,Female,4.3,85,6.1,High School,Yes,Yes,No,58.8,96.2,A
387,Male,4.4,78.8,6.6,High School,Yes,No,No,56.9,79.4,C
737,Female,4.5,84.8,7.4,High School,No,Yes,No,80.5,95,A
153,Male,5,73.3,5.3,High School,Yes,No,Yes,78.6,84.7,B
843,Male,4.9,66.3,7.7,High School,Yes,No,No,65.3,85.1,B
912,Male,3.1,99,5.7,,Yes,Yes,No,100,100,A
242,Male,3.3,97.8,7.6,High School,Yes,No,Yes,70.4,85.1,B
452,Female,2,86.1,8.8,High School,Yes,Yes,Yes,85.7,82,B
559,Female,6.3,91.2,7.2,Masters,Yes,No,Yes,70.6,99.8,A
753,Female,4.4,72.6,7.4,High School,Yes,No,Yes,93.6,96.4,A
189,Male,4.7,89.7,9.9,Bachelors,Yes,Yes,No,90.9,100,A
593,Male,1.1,77.3,7.5,Masters,Yes,Yes,No,64.3,73.2,C
215,Male,4.6,83.2,4.5,Bachelors,Yes,Yes,No,58,84.7,B
201,Male,2.8,86.8,5.2,High School,Yes,No,Yes,90.2,94.6,A
6,Female,4.2,78.2,5.7,High School,Yes,No,No,79.8,81.6,B
7,Male,1.5,130,5,High School,Yes,Yes,Yes,58.6,69.6,D
683,Male,2.8,99.2,7.1,Bachelors,Yes,Yes,Yes,54.5,73.9,C
645,Female,3.1,93.1,3.8,Bachelors,Yes,No,Yes,86.5,82.9,B
350,Male,4.2,68.8,6.2,Masters,Yes,Yes,Yes,50.5,74,C
805,Female,3.7,69,6.3,High School,Yes,Yes,No,72.9,87.7,B
206,Male,2.8,55.8,6.3,Bachelors,Yes,Yes,Yes,76.1,61.1,D
795,Male,3.8,83.1,8,High School,Yes,No,No,75.7,89.5,B
978,Female,2,96.1,5.2,Bachelors,Yes,Yes,No,60.7,72.1,C
261,Male,0.5,83.1,6.4,,Yes,Yes,No,68.9,71.3,C
598,Male,3.4,93.6,7.1,Masters,No,Yes,No,77.5,80.9,Z
186,Male,6,72.5,5.1,Bachelors,Yes,No,No,75.5,95.7,A
551,Male,2,87.5,6.1,,Yes,No,No,74.1,75.4,C
384,Male ,6.2,90.5,6.6,High School,Yes,Yes,No,84,100,A
426,Male,2.8,86.5,6,High School,Yes,Yes,No,48.9,86.2,B
866,Male,4.8,100,7.2,High School,Yes,No,Yes,48,89.8,B
479,Male,2.6,98,7.3,Masters,Yes,No,Yes,86.2,87.4,B
889,Female,5.3,74.1,5.7,Bachelors,Yes,Yes,Yes,69.8,82.2,B
358,Female,3.5,96.6,7.5,High School,Yes,No,Yes,91.7,85.3,B
741,Male,,73.2,4.5,High School,Yes,No,No,49.4,62.9,D
156,Female,1.8,100,5.3,,Yes,Yes,No,71.7,87.6,B
493,Male,3.5,68.2,-2,Bachelors,Yes,Yes,No,63.3,66.7,D
815,Female,-3,100,7,High School,Yes,Yes,No,64.6,78,C
744,male,4,92.2,6.3,Bachelors,Yes,No,Yes,67.3,82.4,B
27,Female,1.2,89.6,,Masters,Yes,No,Yes,68.7,78.7,C
11,Male,0.9,-15,5.7,High School,Yes,No,Yes,73.4,68.9,D
388,Male,5,86.9,4.9,,Yes,Yes,No,100,100,A
98,Female,3.8,81,5.9,High School,No,No,No,87.5,88.5,B
827,Male,2.4,93.8,8.8,Bachelors,Yes,No,No,73.7,86.3,B
323,Female,0.5,83.7,6.4,Bachelors,Yes,Yes,No,70.4,73.5,C
612,Female,4.5,76.2,5.3,Bachelors,Yes,Yes,Yes,74.7,79.8,C
30,Female,2.4,94.3,7.1,Bachelors,Yes,Yes,No,86.8,89.8,B
193,Male,1.3,77.7,7.1,Bachelors,Yes,No,No,74,75.2,C
65,Male,3.4,88.1,5.7,Bachelors,Yes,No,Yes,47.9,80.8,B
908,Male,4.8,76.9,7.2,High School,Yes,No,Yes,69.3,86,B
147,Male,3.4,88.2,7.5,High School,Yes,No,Yes,70.4,82,B
563,Male,3.4,,6.6,Masters,No,No,No,52.5,75.3,C
707,Female,4.6,91.2,6.7,High School,Yes,No,Yes,66.9,92.9,A
448,Female,2.3,87.9,6.5,High School,Yes,Yes,Yes,82,87.1,B
903,Female,1.8,79,6,Masters,Yes,Yes,No,75.5,73.3,C
768,Female,1.5,87.3,6.4,High School,Yes,Yes,Yes,57.3,71.2,C
722,Male,1.9,91.4,7.5,Masters,Yes,No,No,61.2,70.7,C
521,Female,1.5,69.3,6.3,High School,Yes,No,Yes,81.6,64.7,D
337,Male,1.5,92.4,5.5,High School,Yes,No,No,83.1,87.1,B
230,Male ,3.7,100,7.6,High School,Yes,Yes,Yes,71.9,82.7,B
818,Male,4.3,72.1,8.3,High School,Yes,Yes,No,54.5,82.2,B
224,Female,5.7,82.5,8.3,Bachelors,Yes,No,Yes,74.4,89.9,B
548,Female,0.5,83.9,7.9,Bachelors,Yes,No,No,94.7,88.8,B
751,Female,5.3,86,7.9,Masters,Yes,No,No,60.7,88.8,B
618,Female,2.5,81.9,9.1,High School,Yes,No,No,38.2,79.1,C
504,Female,5.2,84.9,7.3,High School,No,Yes,No,58.2,88.9,B
116,Female,6.4,79.5,8,Masters,No,No,Yes,91.6,94.5,A
16,Male,2.6,90.4,7,High School,Yes,Yes,No,65.6,84.8,B
860,Male,,86,7.7,High School,No,No,Yes,80,66.5,D
53,Male,0.9,89.9,6.3,Masters,Yes,No,No,66.8,72.6,C
157,Male,4.3,100,6.5,High School,Yes,No,No,63.8,87.7,B
315,Male,2.7,,7.3,Masters,Yes,Yes,No,99.3,100,A
701,Female,5,79.9,6.7,,Yes,No,No,57.5,84.5,B
509,Female,5.6,84.1,7.4,High School,No,Yes,Yes,42.6,76.1,C
257,Male,3.1,84.2,5.8,High School,Yes,No,No,81.7,86.7,B
801,Male,2,70.8,5.4,High School,Yes,Yes,No,100,83,B
532,Female,3.8,78.8,7.6,High School,Yes,Yes,No,77.2,89.6,B
898,Female,4.9,75.2,7.9,Bachelors,Yes,Yes,No,55.9,78.8,C
161,Male,4.4,75,5.1,Bachelors,Yes,No,No,75.7,87.9,B
185,Male,3.5,92.9,6.8,Masters,Yes,No,No,46.4,85.8,B
437,Female,6.9,82.8,6.7,,Yes,Yes,Yes,63.1,100,A
966,Unknown,0.8,91.2,6.4,Bachelors,Yes,No,No,64,76.2,C
57,Female,0.5,86.8,5.2,Masters,Yes,Yes,No,87.2,71.5,C
246,Female,5.8,76.5,7.4,Bachelors,Yes,Yes,No,79.9,100,A
571,Female,4,63.6,7.9,Bachelors,Yes,Yes,Yes,67.4,63.3,D
582,Male,6.2,83.5,6.1,High School,Yes,Yes,Yes,72,82.7,B
901,Male,0.7,92.8,6.4,High School,Yes,No,No,70.5,69.9,D
793,Male,2,100,8,Masters,Yes,Yes,Yes,64.5,91.2,A
209,Female,5.1,61.4,7.8,High School,Yes,Yes,Yes,100,96.1,A
109,Female,5.8,100,5.3,High School,Yes,Yes,No,65.2,100,A
719,Female,5.2,73.1,5.9,High School,Yes,Yes,No,47,99.1,A
334,Male,3.4,80.6,6.9,Masters,Yes,Yes,No,73.1,81.2,B
575,Male,4.5,84.5,5.8,High School,Yes,Yes,No,77.6,84.9,B
935,female,3.6,89.4,7,Bachelors,Yes,No,No,95.3,100,A
953,Male,2.9,85.1,7.4,Bachelors,Yes,Yes,Yes,63.3,89.5,B
721,Female,4.4,76,5.2,High School,Yes,Yes,No,74,83.8,B
374,Female,4.6,98.1,7.5,Masters,Yes,No,No,64.4,85.8,B
152,Male,2.9,79.7,7.9,Masters,Yes,Yes,Yes,73.2,75.9,C
343,Male,2.7,88.7,5.9,Masters,Yes,No,No,53.8,92,A
674,Female,2.9,86.9,6.3,Masters,Yes,No,No,59.9,73.2,C
386,Female,2.7,100,5.9,PhD,Yes,No,No,54.6,79.1,C
117,Male,1.4,76.8,6.4,,No,Yes,No,76.6,59.3,F
94,Female,5.2,,7.6,Bachelors,Yes,Yes,No,69.5,88.1,B
716,Female,0.5,76,7.8,High School,No,Yes,No,62.5,54.1,F
690,Female,2.8,81.8,9,High School,Yes,Yes,No,49.1,67.7,D
9,Male,5.3,81.3,,Bachelors,Yes,No,No,63.8,84.4,B
72,Female,1.9,88.8,7.1,Bachelors,Yes,Yes,No,70.7,77.4,C
922,Male,3.5,83.2,7.2,High School,Yes,Yes,No,75.7,90.5,A
943,Female,1.7,92,-2,Masters,Yes,Yes,No,55.2,68.6,D
52,Female,1.4,130,7.8,High School,No,No,No,72.9,81.8,B
884,Female,,84.2,7.6,High School,Yes,No,Yes,74.8,94.4,A
63,Male,2.7,97.4,5.9,Bachelors,Yes,Yes,No,87.6,87.8,B
220,Male,6.3,75.5,6.6,,Yes,No,No,67.8,100,A
939,Female,,84.9,,High School,Yes,No,No,64.9,77.3,C
670,Male,2.5,76.8,5.8,Masters,Yes,No,Yes,52.2,66.4,D
131,Female,4.3,100,,High School,Yes,No,Yes,80,100,A
419,Female,2.8,67,6.7,Masters,Yes,No,No,65.6,79.2,C
921,Male,3.5,91.1,7.4,,Yes,Yes,Yes,64.5,72.8,C
726,Male,3.8,-15,6.5,High School,Yes,No,No,91.8,100,A
777,Male,1.4,90,6.2,Bachelors,Yes,Yes,No,82.3,73.6,C
392,Male,3.1,84.6,6.5,High School,Yes,Yes,No,62.4,87.3,B
963,Female,1.4,91.9,7.6,Masters,Yes,Yes,Yes,62.8,73,C
290,Female,2.3,81.8,4.4,Bachelors,Yes,No,No,63.5,74.1,C
586,Male,2.5,55.6,6.7,Bachelors,Yes,Yes,No,64.8,67.7,D
810,Male,4.2,78.4,4.5,High School,No,No,No,84.5,82.5,B
812,Male,,85.2,4.5,Bachelors,Yes,Yes,No,74.9,88.4,B
816,Male,2.9,83.1,7.3,High School,Yes,Yes,No,57.8,80,B
900,Male,,89.6,8.6,High School,Yes,No,No,51.3,68.8,D
974,Male,,89.1,5.6,High School,No,Yes,Yes,71.2,77.9,C
283,Female,0.5,93.4,7.5,High School,Yes,Yes,Yes,60,69.9,D
461,Female,3.9,97.7,6.1,High School,Yes,Yes,Yes,77.1,98.2,A
950,Male,3,90.8,5.2,Bachelors,No,Yes,Yes,65.8,65.8,D
747,Male,5.9,91.7,4.7,Bachelors,Yes,Yes,Yes,57.3,100,A
537,Female,3.7,74.3,6.6,Masters,Yes,Yes,No,65.4,87.7,B
909,Male,3.6,76.7,5.4,Bachelors,Yes,No,No,51.8,73.1,C
352,Male,5,74.3,7.2,High School,Yes,No,No,69.5,86.5,B
678,Female,0.9,84,6.2,Masters,Yes,Yes,Yes,87.9,67.7,D
475,Male,3.8,83.7,6.2,Bachelors,No,No,No,78.5,90.9,A
47,Female,3.1,93.6,6.8,Bachelors,Yes,Yes,Yes,62.7,68,D
371,Female,4.2,83.6,7,Bachelors,Yes,No,Yes,81.4,80.2,B
286,Male,0.5,81.3,7.5,High School,Yes,No,Yes,72.1,69.5,D
832,Male,3.9,84.3,6.2,,Yes,Yes,No,78,91.2,A
328,Male,4.1,93.5,5.1,PhD,Yes,Yes,No,66.5,82.6,B
106,female,5.7,100,6,Masters,Yes,Yes,Yes,65.3,92.5,A
487,Male ,1.4,81.9,4.3,High School,Yes,No,No,69.6,66.6,D
45,Female,1.7,88.1,7.5,Bachelors,No,Yes,No,71.9,70.8,C
802,Female,3.2,82.3,7.9,High School,Yes,No,No,78.7,94,A
178,Male,3,93.8,7.1,High School,No,Yes,No,70.4,81.7,B
130,Female,4.6,83.8,7.2,High School,Yes,Yes,No,73.6,87.1,B
661,Female,,85,8.2,Bachelors,Yes,No,No,71.9,95.2,A
168,Male,3.9,76.7,7.3,High School,Yes,Yes,No,83.5,82.1,B
556,Female,4.8,81.1,6.2,Bachelors,Yes,Yes,No,44.7,80.7,B
873,Female,2.4,59,8.2,High School,Yes,No,No,68.7,75.5,C
247,Male,3.3,78.6,7,Bachelors,Yes,No,No,80.5,92.2,A
37,Female,3.1,81.4,6.5,High School,Yes,No,Yes,87.7,83.2,B
442,Female,2.7,99.1,6.7,High School,Yes,Yes,Yes,69.4,87.5,B
616,Male,4.9,83.6,5.8,High School,Yes,Yes,No,75.7,92.4,A
785,Female,4.6,94.9,5.7,,Yes,Yes,No,56.6,92.6,A
281,Female,,75,7.8,Bachelors,No,No,No,75.3,81.1,B
50,Female,3.6,87.8,-2,High School,Yes,Yes,No,48.5,69.4,D
20,Male,4.4,77.4,8.4,Masters,No,No,Yes,77,92.8,A
642,Female,3.7,97.4,7.3,High School,Yes,Yes,No,67,97.9,A
495,Male,7.3,94.6,4.1,Bachelors,Yes,No,No,83.6,88.5,B
300,Female,4.6,96.9,7.2,Masters,Yes,No,Yes,64.8,82.3,B
857,Male,2.6,100,4.8,Bachelors,Yes,No,No,66.2,91.7,A
512,Female,3.7,130,8.9,High School,Yes,Yes,Yes,65,88.2,B
853,Male,4.4,80.9,7,Bachelors,Yes,No,No,66.2,86.6,Z
458,Female,4.1,85.9,5.4,High School,No,Yes,No,95.1,89.9,B
477,Male,5.8,92.9,5.5,PhD,Yes,No,Yes,89.3,100,A
460,Male,4.2,74.7,5.5,Masters,Yes,Yes,No,69.3,86.8,B
587,Female,4.8,91.6,,Bachelors,No,Yes,No,91,89.2,B
822,Female,2.5,88.6,7.8,PhD,Yes,No,No,71.5,79.9,C
948,female,5.7,81.4,7.5,Masters,Yes,No,No,72.3,85.8,B
946,Male,5.3,84.3,4.9,High School,Yes,Yes,No,90.8,96.1,A
231,Female,3.7,88,5.9,PhD,Yes,Yes,No,79.8,98.3,A
422,Female,2.8,90.1,5.8,Bachelors,No,Yes,No,84.1,89.6,B
919,Female,4.3,100,8.1,PhD,Yes,Yes,No,84.8,97.3,A
309,Female,4.4,86.3,7.2,Bachelors,Yes,No,No,63.1,85.2,B
237,Female ,6.3,94.2,6.9,Masters,Yes,Yes,No,95.6,100,A
137,Male,,82.7,7.2,High School,No,No,Yes,55,59.7,F
486,Female,2.3,82.9,7.4,Masters,Yes,Yes,Yes,74.9,87.3,B
301,Male,3.1,80.4,7.4,Bachelors,Yes,Yes,Yes,75.3,80.9,Z
277,Male,3.5,63.8,7.5,High School,Yes,No,No,59.1,76.3,C
620,Male,4.1,87.1,5.2,Bachelors,Yes,Yes,No,61.1,80.3,B
524,Male,6.7,86.4,8.3,Bachelors,Yes,No,No,73.9,100,A
408,Female,1.6,91.7,5.7,Bachelors,Yes,Yes,No,64.5,90.4,A
601,Male,5.8,92.3,6.7,High School,Yes,Yes,Yes,69.1,93.4,A
203,Male,4.7,76.7,5.8,Bachelors,Yes,Yes,No,71.8,85.3,B
784,Female,4.8,89.7,6.3,High School,Yes,Yes,No,46.6,78.1,C
182,Male,2,90.2,7.6,,Yes,No,Yes,87.1,76.5,C
838,Male,4.1,83.2,7.6,High School,Yes,Yes,No,64.4,88.7,B
615,Female,5.6,78.2,4.5,,Yes,Yes,Yes,73.7,95,A
523,Female,4.5,73.1,6.3,High School,Yes,Yes,Yes,82.6,84.9,B
335,Female,4,90.1,9.1,,Yes,No,No,69.9,88.7,B
108,Female,2.2,86.8,8.5,High School,Yes,Yes,No,54.3,74,C
176,Female,6.6,77.5,6.9,Bachelors,Yes,Yes,No,56,89.7,B
140,Male,0.8,-15,7.4,Masters,Yes,No,No,78.4,80.2,B
954,Female,3.8,78.4,9,,Yes,Yes,No,66.3,77.9,C
599,Female,3.5,94.5,4.8,High School,Yes,Yes,No,72.3,86.4,B
159,Male,0.5,79,9.7,High School,Yes,Yes,No,48.9,63.7,D
126,Female,3.4,83.1,7.5,Bachelors,Yes,Yes,No,91.8,92.1,A
56,Female,3.5,96.7,8.5,Bachelors,Yes,Yes,Yes,71.2,84.3,B
347,Male,4.1,130,7.5,High School,Yes,No,No,76.6,87.2,B
789,Female,2.4,76.6,5.6,Bachelors,Yes,No,No,74.3,72.1,C
808,Male,4,71.4,6.1,High School,No,Yes,Yes,49.1,57.8,F
372,Female,,94.5,5.9,Bachelors,Yes,Yes,No,70.7,82.8,B
622,Female,4.5,76.8,4.9,Bachelors,No,No,No,78.9,79.3,C
792,Female,3.4,86.8,6.2,High School,No,No,Yes,68.6,67.6,D
305,Female,3,90.9,5.6,Bachelors,Yes,No,Yes,74.6,83.2,B
415,Male,4.9,100,7,Bachelors,No,Yes,Yes,48.5,83.3,B
500,Female,6.3,87.8,6.2,High School,Yes,No,No,73.9,99.6,A
291,Male,1.8,97.2,7.2,,Yes,No,No,93.9,94.9,A
418,Female,2.8,69.9,5.6,High School,Yes,Yes,No,80.8,84.9,B
931,Male,1.9,93.4,6.7,High School,Yes,No,No,62.7,72.9,C
655,Female,6,78.1,7.5,Masters,No,No,No,70.5,89.9,B
888,Female,3,85.3,7.7,High School,Yes,No,No,59.1,79.8,C
758,Male,3.7,87.4,6.1,Bachelors,Yes,Yes,Yes,82.6,82.5,B
184,male,3,79.7,6.5,Bachelors,Yes,No,No,73.4,83.6,B
580,Female,5.7,85.9,6.5,Masters,Yes,No,Yes,74.2,95.7,A
77,Female,,82.9,7.4,High School,Yes,Yes,No,60.3,71.9,C
916,Female,5,75,5.7,Bachelors,No,Yes,Yes,88,81.7,B
526,Unknown,3.8,100,7.2,,Yes,Yes,No,49.3,87.3,B
644,Male,2,80.1,6.8,Bachelors,No,Yes,No,77.2,70.4,C
69,Female,2.7,90.7,7.6,Bachelors,No,No,Yes,48.8,73.5,C
322,Male,6.1,100,6.8,High School,Yes,No,Yes,60.9,93.1,A
794,Female,1.8,85.1,-2,High School,Yes,Yes,Yes,72.9,86.8,B
585,Female,3.7,90.9,4.5,High School,Yes,No,No,82.7,84.6,B
847,Female,3.4,65.3,5.5,Bachelors,Yes,No,No,75.6,69.8,D
385,Male,4.6,-15,6.6,Bachelors,No,Yes,No,82.8,88.6,B
451,Female,5.8,73.6,9.1,Masters,No,Yes,No,54.2,77.9,C
876,Male,3.6,89,6.9,,Yes,Yes,No,90,81.4,B
520,Female,3.6,130,7.7,PhD,Yes,Yes,Yes,56.2,80.7,B
149,Male,2.5,80.3,6.3,,Yes,Yes,Yes,62.2,68.6,D
779,Female,5,100,5.4,,Yes,Yes,No,57.4,87.1,B
699,Female,4.1,79.5,6.6,Masters,Yes,Yes,No,71.9,85.5,B
406,Female,3.8,86.2,6.1,PhD,Yes,No,No,75.8,93,A
975,Female,3.5,74.7,5.4,,Yes,No,No,62,67.9,D
251,Female,4.7,75.4,7,High School,Yes,Yes,Yes,84.4,88.4,B
424,Male,2.2,94,6.1,Masters,No,No,No,62,64.6,D
459,Male,3.7,86.6,7.1,Bachelors,No,No,No,69.7,83.3,B
570,Male,5.2,98.7,8.9,PhD,Yes,No,Yes,53.1,90.9,A
227,Male,3.9,93.8,6.6,Bachelors,Yes,No,Yes,74.2,82.2,B
837,Male,4.5,92.4,8.4,Bachelors,Yes,Yes,Yes,90.7,100,A
934,Male,3.2,74,9.6,Bachelors,Yes,Yes,No,56.2,71.7,C
952,Female,3,85.5,6.6,Bachelors,Yes,No,No,73.5,83.6,B
698,Female,6.6,62,5.5,Bachelors,No,Yes,No,69.4,97.9,A
58,Male,3.4,72,7.6,Bachelors,Yes,No,No,66.9,84.3,B
878,Female,2.1,74.3,8.2,High School,No,Yes,No,78.4,65.4,D
839,Female,3.2,78.5,7.1,High School,Yes,Yes,No,54.6,86,B
858,Unknown,2,,8.1,PhD,Yes,Yes,No,73.8,78.8,C
239,Male,-3,100,7.3,Bachelors,Yes,Yes,No,89.8,100,A
687,Female,3.6,85.9,7,High School,Yes,No,No,62.9,91.7,Z
961,Male,0.5,80.2,6.5,Bachelors,Yes,No,No,66.8,75.4,C
902,Female,4.3,82.5,6.5,Masters,Yes,Yes,No,52.9,80.7,B
894,Male,3,89.6,7.5,,No,No,No,82.4,79.6,C
304,Female,4.2,82.4,7.5,High School,No,No,No,71.3,81.6,B
987,Female,1.4,86.6,8.5,High School,Yes,Yes,No,91.4,81.8,B
252,Male,3.6,89.2,7.9,Bachelors,Yes,No,Yes,70.1,91,Z
357,Female,2.6,85.7,6.9,Masters,Yes,No,No,52.3,80.9,B
656,Male,2.8,80.9,7,,Yes,No,Yes,78.2,72.6,C
383,Female,2.6,86.2,6.2,Masters,Yes,Yes,No,61.8,76.8,C
886,Male ,4.4,80.1,5.8,Masters,Yes,Yes,Yes,48.8,77.1,C
807,Female,2.6,100,9.5,Masters,Yes,No,Yes,69.6,80.1,B
611,Male,6.2,84.7,,High School,Yes,Yes,No,31.3,78.8,C
572,Male,4.2,100,6.5,Masters,Yes,No,Yes,68.5,85,B
430,Female,1.3,76.1,7.8,,Yes,Yes,No,71.2,72,C
900,Male,,89.6,8.6,High School,Yes,No,No,51.3,68.8,D
788,Female,3.4,86.5,7.7,High School,Yes,No,No,84.9,96.8,A
565,Female,3.1,67.3,,Bachelors,Yes,Yes,No,78.1,82.8,B
346,Male,2,81.5,8.8,,Yes,Yes,Yes,59.2,70.6,C
861,Female,3.6,76,,High School,Yes,No,No,85.4,91.1,A
